Tract,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42003010300,34699.5,23000,35000,9000,30000,79000,65000,46250,176000,210000
42003020100,0,0,0,0,0,1729700,2000000,0,0,0
42003020300,10000,0,288000,187500,62500,85000,70000,301000,0,350000
42003030500,156750,75000,123250,100000,170000,136500,62500,181500,170000,156000
42003040200,73500,57500,48286,119000,165500,138915,157500,106000,100000,110112.5
42003040400,225000,230000,125000,155000,0,425000,0,625000,0,0
42003040500,190000,150000,215000,252800,255000,210000,388000,357500,180000,175000
42003040600,120500,147150,109000,135250,173500,212500,230000,229000,93866.5,262540
42003040900,66000,130950,130000,120000,144550,194500,185000,126000,150000,200000
42003050100,10000,31850,15000,10000,10000,26802,60750,9086,20000,31000
42003050600,35000,42000,20000,80000,63000,41237,48000,62500,82500,80000
42003050900,40000,10000,5000,72000,0,9750,43000,0,0,91500
42003051000,130000,20375,131750,25000,0,0,106992.5,116700,197250,202000
42003060300,60000,102500,75000,160000,191000,207500,240000,313750,180000,390000
42003060500,79000,70000,67125,70000,83750,160000,155250,150000,187400,165000
42003070300,470625,462500,630000,500000,631000,640000,623062.5,694500,716727,625000
420034120011,295000,388250,423000,425000,360000,298000,289000,370000,450000,287450
42003070600,348800,515000,612725,523500,590000,528787.5,527000,455000,542501,779451
42003070800,342625,379000,455000,455000,461150,522000,550000,580250,510000,535000
42003070900,340000,375000,389000,443500,504000,406000,671250,399900,626775,498000
42003080200,88100,115000,116850,154000,125000,157500,160856.5,163750,170000,212000
42003080400,147000,159000,154750,179950,269000,225000,192000,154000,286500,316350
420030807002,289500,249000,212000,315000,338400,300000,350000,330000,309000,420750
42003080700,168750,207125,215000,257000,322340,324250,310000,456000,390000,433000
42003080900,102500,140000,141500,210000,221134,236000,200500,260000,196500,213300
42003090100,70051,111000,148500,169000,225000,190000,275750,273500,349500,222500
42003090200,130000,142500,142500,195000,169250,255000,247500,289250,290000,255000
42003090300,92500,100750,127500,114000,149450,150000,164000,171500,207250,164000
42003100500,61500,85000,90500,79000,91000,117500,150000,160000,160000,217500
420030802002,47000,55000,65000,137950,110000,137000,182500,227000,312000,273000
42003101400,128000,123000,113000,147250,179604,180300,210000,182000,250000,188000
42003101600,19500,17000,20000,23000,37600,168750,45000,65000,8200,88000
42003101700,61750,70000,35000,39750,40000,65625,82000,87400,152500,90000
42003101800,97500,120000,128250,139450,152000,147000,179000,185750,174000,249000
42003110200,170450,163000,219500,247000,229550,347500,395000,276250,300000,549900
42003110600,235000,206000,237250,242000,263075,281250,437500,246250,375000,365000
42003111300,110000,131250,105000,153500,140250,155000,237400,160000,185750,430000
42003111400,29250,22251,57250,42000,90000,71750,95000,61500,140000,202487.5
42003111500,60500,39500,65000,50750,80750,38500,86000,121750,141000,145000
42003120300,9250,20187.5,8750,5000,17000,17000,15000,8500,11050,10000
42003120400,12400,1750,0,13860,4200,15000,20000,39000,35000,36400
42003120700,5000,500,12000,30700,32000,15100,34500,30500,34000,27485
42003120800,0,30000,22500,32500,6000,60250,50000,47500,115000,128000
42003130100,4000,6200,5500,13500,7000,6750,21000,10500,5500,7250
42003130200,10009.5,20000,8000,8000,14009.5,31000,10800.5,23500,50750,13270
42003130300,3555,12859,11000,13750,2500,25000,22500,95000,10000,95000
42003130400,11950,18587.5,2850,7500,11000,15100,35000,10500,20000,4500
42003130600,13500,18660.5,54000,16000,20950,15500,10550,23000,18746,34500
42003140100,550900,497000,511000,587500,547500,493800,663162,673015,770000,695000
42003140200,535000,420000,378750,520000,575000,570000,605000,597000,574250,625000
42003140300,310000,421008.5,378500,396250,499000,395000,567500,535000,570000,566000
42003140400,370000,354750,393000,305000,378500,473100,470000,491040,540000,622500
42003140500,127250,125275,126950,204500,150000,254442.5,179000,180000,233500,285000
42003140600,262000,295750,319950,295000,302100,370000,360000,408750,368500,402500
42003140800,263500,238500,283750,271000,345000,343500,365000,355750,400000,440000
42003141000,265000,248605.5,288000,276000,315000,310000,349200,335500,304000,422750
42003141100,125000,132437.5,146000,137000,133575,183900,177500,187500,175000,231950
42003141300,238960,230000,260000,365000,270000,267000,340000,352000,325250,363450
42003141400,339500,255000,324000,297500,337083,328750,325375,345606.5,329800,346900
42003151600,92250,122000,113000,125000,130500,150000,150000,139000,163900,170000
42003151700,114000,135000,140000,138000,163000,167550,165000,185000,181375,206000
42003160800,70000,69000,50000,77500,76000,65500,137500,125900,112500,145000
42003160900,187000,183000,202800,212500,199000,217500,236500,195000,215000,270750
420031517004,174465,168000,165000,210000,225000,205000,225000,225000,268000,277500
42003170600,40000,65100,70000,88000,92500,68500,91000,84000,65000,91250
42003180300,12000,16625,24950,12500,25000,17000,24000,37500,25000,39500
42003180700,24500,61250,44000,82500,98950,106000,100000,70000,111000,100000
42003190300,86500,110000,113500,175750,173062.5,171500,162450,156200,265000,280000
42003191100,116300,117000,112000,160000,142566.5,165000,192500,185250,243725,185125
42003191400,73000,65000,59500,87000,105500,83000,112000,73000,122000,137250
42003191500,60000,53600,54800,60000,81250,63250,91250,85000,87500,182500
42003191600,54800,64000,54000,71500,67000,79197,88500,75000,122000,100000
42003191700,77500,84500,89450,87450,90500,110685,127000,125288,133500,145000
42003191800,79950,75250,87950,97000,106000,123000,130000,140000,159650,168250
42003191900,82550,79485,69000,79500,88500,83000,109175,115000,142000,120000
42003192000,54000,61193.5,65000,61750,75500,70000,72000,76500,86450,95000
42003202200,23950,36000,40500,48350,45000,40000,35000,35500,68250,95000
42003202300,118500,125000,121500,132000,134900,148000,161000,150000,175000,198750
42003210700,127000,127750,117250,84500,123900,107500,167000,50000,176000,207000
42003220600,147500,208000,214900,194950,262680,274000,263000,270000,300000,391000
42003240600,33000,33500,33000,46500,58000,54500,56514,71500,85000,115000
42003241200,5500,17580,9500,16250,24000,31500,20500,31500,35000,30500
42003250300,150950,140000,225000,105000,265000,240000,261250,286200,324900,350000
42003250700,24500,25000,8500,16750,69000,23500,30000,133750,20000,55000
42003250900,42000,22000,40000,58000,104750,40000,51675,22500,100000,142300
42003260200,30000,54000,65300,82850,67750,77000,80000,65000,97250,126000
42003260700,55000,48750,62000,64000,67000,68000,60914,128950,122500,119400
42003260900,58000,0,15000,70000,0,35000,0,0,10000,80000
42003261200,91100,90000,105000,95700,115000,117000,125000,152000,110000,152000
42003261400,20000,20375,16900,23119,18000,40500,39900,35000,20000,47000
42003261500,22551,17000,23625,25000,25000,22000,43500,62500,37700,50000
42003262000,28500,38500,25000,44000,52000,37500,45795,50000,85000,42000
42003270100,98000,91000,104250,92750,125250,121720,131000,95000,179900,175000
42003270300,49140,59900,49500,60450,52000,52500,84750,62500,96500,74999
42003270400,36000,31500,50000,74400,51850,52000,54300,28500,40000,60000
42003270800,88000,97450,113500,125000,105950,107750,159700,132500,130000,162000
42003271500,17829.5,17000,22875,26500,22400,20000,46000,30000,35000,50000
42003281400,75000,67250,75000,80000,77650,82750,85700,110000,108900,131500
42003281500,49850,62500,67450,65000,79900,49500,67000,72000,68950,101500
42003290100,38250,31500,45000,55000,47000,36750,49075,45000,32000,97250
42003290200,47500,53500,36500,37950,59000,56000,58000,56260,50000,90000
42003290400,43000,56000,67900,60000,66000,69950,68000,65500,85000,107500
42003300100,14000,19450,25000,15000,15000,15000,18000,20500,15000,49900
42003310200,61150,63450,59450,75000,70000,81750,90000,85000,91900,99000
42003310300,63500,115000,133475,128500,102755,130000,165000,197450,172500,235000
42003320400,40400,64900,57500,67700,70000,74000,59000,108875,53000,70500
42003320600,64000,89000,88750,94000,110000,102100,137500,120000,153625,166000
42003320700,79900,55000,70000,92000,81250,76206,100000,114900,96000,80000
42003401100,110000,115000,115000,111000,120000,100000,97500,115000,96750,135000
42003401200,25350,23000,21500,38250,26000,41052.5,35000,20750,63000,32700
42003401300,82400,82300,93500,87250,82650,105256,88000,99950,127900,123750
42003402000,38003,32250,59000,64500,45954,55000,68000,59900,66750,70000
42003403500,19500,30250,35000,40000,48000,32400,33222,28000,60500,50000
42003404000,56500,35000,61000,91950,54250,39500,65000,72000,46250,105000
42003405000,109000,118000,128000,130000,90000,125000,124570,144000,95000,176500
42003406000,99000,111000,120000,105000,80000,114700,143300,92500,99500,164000
42003407001,128000,164500,190000,194450,141500,143500,130000,114400,163100,115000
42003407002,153000,119900,147000,169200,180250,197500,185000,218200,212950,210000
42003408001,174500,265000,246832.5,276500,266500,314637.5,255000,289500,370000,328000
42003408002,185750,186450,202000,220000,237500,222000,225000,233000,271000,277450
42003409000,320000,345860,370500,400000,444095,462500,475000,459430,492000,550000
42003410000,280500,248000,269000,334750,275000,270000,350000,380250,376500,350000
42003411000,291400,265000,299088.5,342455,339978.5,355177.5,361000,382500,422900,441250
42003412001,325000,330000,350000,348499.5,360500,381000,387000,416500,428850,450000
42003412002,302000,302000,353450,355000,335000,345000,465000,404150,435000,415000
42003413100,296000,296950,310750,310000,309000,322500,353500,348500,381450,472000
42003413201,180000,169250,183250,215000,195000,228000,225000,226500,258700,284500
42003413202,217000,240500,206000,241550,240000,256003.5,250000,325000,312000,300000
42003413300,165900,199660,212500,222000,215000,244000,239900,253900,274000,267500
42003413400,225950,228000,237000,226000,277500,269000,285000,289500,280000,329028.5
42003413500,185000,191500,227500,296000,239500,269950,247500,252450,291000,312000
42003414101,159900,202900,230000,230000,270000,247500,251750,275000,288000,293500
42003414102,202500,205000,192500,198692.5,200000,210000,260000,248250,257000,275000
